job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,sla_miss,carbon_at_start,label,seed
0,2.2664396798963655,2.2664396798963655,2.3082111217472767,0.0,2.5062865110546695,7016.125314325553,False,474.3226027055666,A_blind,0
1,5.6583880570651175,5.6583880570651175,5.668277969679042,0.0,0.5933947568354349,1016.0296697378418,False,465.787299207103,A_blind,0
2,5.724085890954316,5.724085890954316,5.734619576496352,0.0,0.6320211325221641,1016.0316010566261,False,465.787299207103,A_blind,0
3,5.731612719067381,5.734619576496352,5.754706993260647,0.0030068574289714434,1.205245005857652,3708.060262250293,False,465.787299207103,A_blind,0
4,7.556959935586091,7.556959935586091,7.576513544441791,0.0,1.1732165313419445,3708.058660826567,False,490.937558533782,A_blind,0
5,12.954506015681275,12.954506015681275,12.968140678227034,0.0,0.8180797527454743,3008.040903987637,False,364.328866776906,A_blind,0
6,15.174696766557895,15.174696766557895,15.189116766595504,0.0,0.865200002256507,3008.0432600001127,False,430.5690563070081,A_blind,0
7,17.659487353358752,17.659487353358752,17.673609920828028,0.0,0.8473540481564622,3008.042367702408,False,448.87898865597475,A_blind,0
8,26.906412319446034,26.906412319446034,26.925825873416194,0.0,1.1648132382096503,3708.0582406619105,False,439.15758192976267,A_blind,0
9,46.63671320016263,46.63671320016263,46.64732534893676,0.0,0.6367289264476973,1812.0318364463224,False,542.6401615440094,A_blind,0
10,57.16590604053925,57.16590604053925,57.1753866451538,0.0,0.5688362768731323,1016.0284418138436,False,520.0521669768796,A_blind,0
11,57.16999658738455,57.1753866451538,57.21708775013659,0.005390057769247392,2.502066298967362,7016.125103314948,False,520.0521669768796,A_blind,0
12,64.37776596056497,64.37776596056497,64.38582843491945,0.0,0.48374846126805826,1016.0241874230634,False,510.1614735800886,A_blind,0
13,64.6067301535193,64.6067301535193,64.61654782713268,0.0,0.5890604168033727,1016.0294530208402,False,510.1614735800886,A_blind,0
14,67.98352562901842,67.98352562901842,68.02415403656236,0.0,2.437704452637347,7016.121885222632,False,551.814940116929,A_blind,0
15,70.65700897409111,70.65700897409111,70.6680654179622,0.0,0.6633866322648274,1812.0331693316132,False,503.0453741246998,A_blind,0
16,80.55595969217245,80.55595969217245,80.56550614302007,0.0,0.5727870508571344,1016.0286393525429,False,514.800160839259,A_blind,0
17,81.65997122542088,81.65997122542088,81.66970764195723,0.0,0.5841849921815423,1016.029209249609,False,482.5396394679472,A_blind,0
18,82.61691529530766,82.61691529530766,82.62725832075463,0.0,0.6205815268187066,1016.0310290763409,False,493.3689153074797,A_blind,0
19,87.26320521209085,87.26320521209085,87.30574063989872,0.0,2.552125668472134,7016.127606283424,False,563.214308203638,A_blind,0
20,87.37801902999482,87.37801902999482,87.3979119177757,0.0,1.1935732668527983,3708.0596786633428,False,563.214308203638,A_blind,0
21,87.79787684820067,87.79787684820067,87.81068223442612,0.0,0.7683231735274842,1812.0384161586765,False,563.214308203638,A_blind,0
22,90.99300960867713,90.99300960867713,91.00412194644922,0.0,0.6667402663256693,1812.0333370133162,False,501.6645327761764,A_blind,0
23,93.38950061551863,93.38950061551863,93.40312687391037,0.0,0.817575503504651,3008.0408787751753,False,485.43227118167215,A_blind,0
24,98.7563784410859,98.7563784410859,98.7737979995706,0.0,1.0451735090825904,4806.052258675454,False,463.94013542190817,A_blind,0
25,100.02896807896217,100.02896807896217,100.0707130892103,0.0,2.5047006148880437,7016.125235030744,False,538.7622407798435,A_blind,0
26,101.40653537698303,101.40653537698303,101.41591579427524,0.0,0.5628250375323096,1016.0281412518766,False,558.7702102583091,A_blind,0
27,107.09320179614903,107.09320179614903,107.10576702500215,0.0,0.753913731187079,3008.0376956865593,False,547.094999513038,A_blind,0
28,112.36863762829728,112.36863762829728,112.37992285677589,0.0,0.677113708716633,1812.0338556854358,False,521.6704505259588,A_blind,0
29,113.35403246288475,113.35403246288475,113.36588262548764,0.0,0.7110097561735025,1812.0355504878087,False,533.2591356324054,A_blind,0
30,113.99565725823739,113.99565725823739,114.03648257641777,0.0,2.4495190908230633,7016.122475954541,False,533.2591356324054,A_blind,0
31,117.71807896322,117.71807896322,117.73790465024094,0.0,1.1895412212564143,3708.059477061063,False,556.0795450141809,A_blind,0
32,119.35193327671062,119.35193327671062,119.36513392253569,0.0,0.7920387495042761,3008.0396019374753,False,574.5350701387133,A_blind,0
33,121.94304274081645,121.94304274081645,121.98516011213702,0.0,2.5270422792342906,7016.126352113962,False,562.5910170030055,A_blind,0
34,125.11676246921489,125.11676246921489,125.13027468515031,0.0,0.810732956125317,3008.040536647806,False,499.76965731054463,A_blind,0
35,128.83761782146723,128.83761782146723,128.84791396539143,0.0,0.617768635451996,1016.0308884317726,False,509.05398547579114,A_blind,0
36,137.657912084203,137.657912084203,137.6707005603618,0.0,0.7673085695290831,3008.0383654284765,False,581.3006292600803,A_blind,0
37,138.118181363727,138.118181363727,138.13807335236558,0.0,1.1935193183153614,3708.0596759659156,False,441.0482165219656,A_blind,0
38,142.5066891762401,142.5066891762401,142.52400915579847,0.0,1.0391987735030666,4806.051959938675,False,551.9300105110002,A_blind,0
39,145.86312220462708,145.86312220462708,145.8810333972481,0.0,1.0746715572610381,4806.053733577863,False,523.7424175692747,A_blind,0
40,151.51779443219306,151.51779443219306,151.53341187758298,0.0,0.937046723394794,4806.04685233617,False,543.3514778407625,A_blind,0
41,153.29606229668644,153.29606229668644,153.3106572331654,0.0,0.8756961887369532,3008.043784809437,False,520.1889103974868,A_blind,0
42,154.68596640303738,154.68596640303738,154.70042129922388,0.0,0.8672937711891153,3008.0433646885594,False,540.4462908346923,A_blind,0
43,157.10708784654912,157.10708784654912,157.12107227271636,0.0,0.8390655700350215,3008.0419532785018,False,537.5185945905757,A_blind,0
44,157.8895783133976,157.8895783133976,157.9031320264229,0.0,0.8132227815164652,3008.040661139076,False,537.5185945905757,A_blind,0
45,160.09522459674764,160.09522459674764,160.10662966106887,0.0,0.6843038592731786,1812.0342151929638,False,563.0960169242113,A_blind,0
46,160.40847424726982,160.40847424726982,160.4196892645061,0.0,0.6729010341768479,1016.0336450517088,False,563.0960169242113,A_blind,0
47,165.2717599367991,165.2717599367991,165.28339348539615,0.0,0.6980129158224982,1016.0349006457911,False,541.8435413647425,A_blind,0
48,171.98301667344123,171.98301667344123,172.00451803583277,0.0,1.2900817434933063,3708.0645040871746,False,547.1032293492748,A_blind,0
49,173.6024813577778,173.6024813577778,173.61357727758175,0.0,0.6657551882367185,1016.0332877594118,False,560.4504728351538,A_blind,0
