job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,emissions_index,sla_miss,carbon_at_start,deferrals
0,2.2664396798963655,2.2664396798963655,2.3082111217472767,0.0,2.5062865110546695,7016.125314325553,3327906.819999308,False,474.3226027055666,0
1,5.6583880570651175,5.6583880570651175,5.668277969679042,0.0,0.5933947568354349,1016.0296697378418,473253.71578147414,False,465.787299207103,0
2,5.724085890954316,5.724085890954316,5.734619576496352,0.0,0.6320211325221641,1016.0316010566261,473254.6153652346,False,465.787299207103,0
3,5.731612719067381,5.734619576496352,5.754706993260647,0.0030068574289714434,1.205245005857652,3708.060262250293,1727167.374850746,False,465.787299207103,0
4,7.556959935586091,7.556959935586091,7.576513544441791,0.0,1.1732165313419445,3708.058660826567,1820425.26584624,False,490.937558533782,0
5,12.954506015681275,12.954506015681275,12.968140678227034,0.0,0.8180797527454743,3008.040903987637,1095916.1337683958,False,364.328866776906,0
6,15.174696766557895,15.174696766557895,15.189116766595504,0.0,0.865200002256507,3008.0432600001127,1295170.3477889048,False,430.5690563070081,0
7,17.659487353358752,17.659487353358752,17.673609920828028,0.0,0.8473540481564622,3008.042367702408,1350247.0158485805,False,448.87898865597475,0
8,26.906412319446034,26.906412319446034,26.925825873416194,0.0,1.1648132382096503,3708.0582406619105,1628421.8906238147,False,439.15758192976267,0
9,46.63671320016263,46.63671320016263,46.64732534893676,0.0,0.6367289264476973,1812.0318364463224,983281.2484521203,False,542.6401615440094,0
10,57.16590604053925,57.16590604053925,57.1753866451538,0.0,0.5688362768731323,1016.0284418138436,528387.7928754318,False,520.0521669768796,0
11,57.16999658738455,57.1753866451538,57.21708775013659,0.005390057769247392,2.502066298967362,7016.125103314948,3648751.063759822,False,520.0521669768796,0
12,64.37776596056497,64.37776596056497,64.38582843491945,0.0,0.48374846126805826,1016.0241874230634,518336.39664876217,False,510.1614735800886,0
13,64.6067301535193,64.6067301535193,64.61654782713268,0.0,0.5890604168033727,1016.0294530208402,518339.0829538832,False,510.1614735800886,0
14,67.98352562901842,67.98352562901842,68.02415403656236,0.0,2.437704452637347,7016.121885222632,3777507.8157631406,False,551.814940116929,0
15,70.65700897409111,70.65700897409111,70.6680654179622,0.0,0.6633866322648274,1812.0331693316132,911534.9035927869,False,503.0453741246998,0
16,80.55595969217245,80.55595969217245,80.56550614302007,0.0,0.5727870508571344,1016.0286393525429,523051.70695598255,False,514.800160839259,0
17,81.65997122542088,81.65997122542088,81.66970764195723,0.0,0.5841849921815423,1016.029209249609,490274.36832020985,False,482.5396394679472,0
18,82.61691529530766,82.61691529530766,82.62725832075463,0.0,0.6205815268187066,1016.0310290763409,501278.1267341367,False,493.3689153074797,0
19,87.26320521209085,87.26320521209085,87.30574063989872,0.0,2.552125668472134,7016.127606283424,3951583.4560413654,False,563.214308203638,0
20,87.37801902999482,87.37801902999482,87.3979119177757,0.0,1.1935732668527983,3708.0596786633428,2088432.2666961788,False,563.214308203638,0
21,87.79787684820067,87.79787684820067,87.81068223442612,0.0,0.7683231735274842,1812.0384161586765,1020565.9629952249,False,563.214308203638,0
22,90.99300960867713,90.99300960867713,91.00412194644922,0.0,0.6667402663256693,1812.0333370133162,977020.1362260154,False,501.6645327761764,0
23,93.38950061551863,93.38950061551863,93.40312687391037,0.0,0.817575503504651,3008.0408787751753,1460200.1155911463,False,485.43227118167215,0
24,98.7563784410859,98.7563784410859,98.7737979995706,0.0,1.0451735090825904,4806.052258675454,2229720.5357346577,False,463.94013542190817,0
25,100.02896807896217,100.02896807896217,100.0707130892103,0.0,2.5047006148880437,7016.125235030744,3780023.35321717,False,538.7622407798435,0
26,101.40653537698303,101.40653537698303,101.41591579427524,0.0,0.5628250375323096,1016.0281412518766,567726.2581156701,False,558.7702102583091,0
27,107.09320179614903,107.09320179614903,107.10576702500215,0.0,0.753913731187079,3008.0376956865593,1645682.3816568383,False,547.094999513038,0
28,112.36863762829728,112.36863762829728,112.37992285677589,0.0,0.677113708716633,1812.0338556854358,945284.5178637116,False,521.6704505259588,0
29,113.35403246288475,113.35403246288475,113.36588262548764,0.0,0.7110097561735025,1812.0355504878087,966284.5113883188,False,533.2591356324054,0
30,113.99565725823739,113.99565725823739,114.03648257641777,0.0,2.4495190908230633,7016.122475954541,3812113.093947735,False,533.2591356324054,0
31,117.71807896322,117.71807896322,117.73790465024094,0.0,1.1895412212564143,3708.059477061063,2061976.0268896373,False,556.0795450141809,0
32,119.35193327671062,119.35193327671062,119.36513392253569,0.0,0.7920387495042761,3008.0396019374753,1728224.2436791747,False,574.5350701387133,0
33,121.94304274081645,121.94304274081645,121.98516011213702,0.0,2.5270422792342906,7016.126352113962,3947209.6598573807,False,562.5910170030055,0
34,125.11676246921489,125.11676246921489,125.13027468515031,0.0,0.810732956125317,3008.040536647806,1503327.3881767008,False,499.76965731054463,0
35,128.83761782146723,128.83761782146723,128.84791396539143,0.0,0.617768635451996,1016.0308884317726,517214.5731227027,False,509.05398547579114,0
36,137.657912084203,137.657912084203,137.6707005603618,0.0,0.7673085695290831,3008.0383654284765,1748574.5946620367,False,581.3006292600803,0
37,138.118181363727,138.118181363727,138.13807335236558,0.0,1.1935193183153614,3708.0596759659156,1635433.106841785,False,441.0482165219656,0
38,142.5066891762401,142.5066891762401,142.52400915579847,0.0,1.0391987735030666,4806.051959938675,2652604.308765366,False,551.9300105110002,0
